"Now Shopping by",現在買い物をしている人
"Store Email Addresses Section",店舗電子メールアドレスセクション
"Email to a Friend",友達にメールを送る
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" タイプのクラスが宣言されていません。クラスを入力し、再度お試し下さい。"
"The ""%1"" email address is incorrect. Verify the email address and try again.","メールアドレス ""%1"" が正しくありません。メールアドレスを確認して再度お試し下さい。"
"The time zone is incorrect. Verify the time zone and try again.",タイムゾーンが正しくありません。タイムゾーンを確認して再度お試し下さい。
"The ""%1"" file doesn't exist.","ファイル ""%1"" が存在しません。"
"The ""%1"" path doesn't exist. Verify and try again.","パス ""%1""が存在しません。確認してから再度お試し下さい。"
Dynamic,動的
Constant,不変
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","コンバージョンカラー値""%1""は無効です。 6桁の16進法値で設定してください"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","コンバージョンID値""%1""が有効ではありません。コンバージョンID値は整数でなければなりません"
"Conversion ID","コンバージョン ID"
"Conversion Language",コンバージョン言語
"Conversion Format",コンバージョンフォーマット
"Conversion Color",コンバージョンカラー
"Conversion Label",コンバージョンラベル
"Conversion Value Type",コンバージョン値タイプ
"Conversion Value",コンバージョン値
"Send Order Currency",注文通貨を送信
"Account Activity",アカウントアクティビティ
"All other open sessions for this account were terminated.",このアカウントの他のすべてのログインセッションは期限切れになりました。
"We couldn't logout because of an error.",エラーのためログアウトできませんでした。
"Someone logged into this account from another device or browser. Your current session is terminated.","誰かが別のデバイスやブラウザからこのアカウントにログインしました。 あなたの現在のセッションは終了します。"
"Your current session is terminated by another user of this account.",現在のセッションは、このアカウントの別のユーザーによって終了されます。
"Your account is temporarily disabled.",あなたのアカウントは一時的に無効になっています。
"Your current session has been expired.",セッションが期限切れになりました。
"By IP and Email",IPアドレスとメールアドレス
"By IP",IPアドレス
"By Email",メールアドレス
"Too many password reset requests. Please wait and try again or contact %1.","パスワードリセット要求が多すぎます。 お待ちいただきもう一度お試しいただくか、%1 にお問い合わせください。"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","セキュリティチェッカークラスが正しくありません。 SecurityCheckerInterfaceを実装する必要があります"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Tこの管理者アカウントは、複数の場所で開いています。 他の場所は、同じコンピュータ上のブラウザやセッションが異なる場合があります。"
"Concurrent session information:",同時セッション情報:
"IP Address",IPアドレス
"Time of session start",セッション開始時刻
